EAR_TAG,sampleDate,ExtractionID,qPCR_Plate,qPCR_RunDate,qPCR_Row,TelomereLength,IntegrityGel_score,ANIMAL_ID,GENETIC_GROUP,FEED_GROUP,DOB,YearS_DOB,BirthYear,TEL_sampleNO,AGE_D,AGE_W,AGE_M,AGE_Group,VarianceGroup,AGE_Y
203283,09/04/2009,820,13,14/12/2015,G,1.223946676,1,010000001167287211F,S,2,05/04/2009,20091,2009,1,4,1,0,1,1,0
203290,21/04/2009,922,15,14/12/2015,A,0.999222393,1,010000001167883511F,C,1,14/04/2009,20091,2009,1,7,1,0,1,1,0
203381,08/05/2009,900,14,11/12/2015,F,1.130947635,1,010000001169330611F,C,1,05/05/2009,20091,2009,1,3,0,0,1,1,0
203395,01/06/2009,1087,18,16/12/2015,C,1.726690329,1,010000001169749711F,S,1,28/05/2009,20091,2009,1,4,1,0,1,1,0
203402,08/06/2009,160,2,02/11/2015,F,1.053348267,2,010000001169922911F,S,2,04/06/2009,20091,2009,1,4,1,0,1,1,0
203423,29/06/2009,727,11,12/12/2015,E,1.132904938,1,DUMMYHUK3270F,S,NULL,24/06/2009,20091,2009,1,5,1,0,1,1,0
203430,13/07/2009,725,11,12/12/2015,C,1.128716696,1,010000001171653011F,S,2,04/07/2009,20091,2009,1,9,1,0,1,1,0
203437,16/07/2009,809,13,14/12/2015,D,0.941479199,1,010000001171720411F,C,2,14/07/2009,20091,2009,1,2,0,0,1,1,0
203514,31/08/2009,1193,19,16/12/2015,A,1.349067335,1,010000001174019411F,S,1,25/08/2009,20091,2009,1,6,1,0,1,1,0
203521,10/09/2009,987,16,15/12/2015,A,1.489805615,1,010000001174450111F,S,1,01/09/2009,20091,2009,1,9,1,0,1,1,0
203535,01/10/2009,765,24,04/01/2016,D,1.005737376,2,010000001176068011F,C,NULL,28/09/2009,20091,2009,1,3,0,0,1,1,0
203549,06/11/2009,640,10,14/12/2015,A,1.227149686,1,010000001177851011F,C,1,25/10/2009,20092,2009,1,12,2,0,1,1,0
203584,17/11/2009,1004,16,15/12/2015,C,1.234084819,1,010000001178940111F,C,NULL,14/11/2009,20092,2009,1,3,0,0,1,1,0
203605,09/11/2009,1369,22,17/12/2015,D,1.276423564,2,DUMMYHUK3322F,C,NULL,04/11/2009,20092,2009,1,5,1,0,1,1,0
203661,23/12/2009,1065,17,15/12/2015,F,1.621826073,1,010000001181908411F,S,2,19/12/2009,20092,2009,1,4,1,0,1,1,0
203668,08/01/2010,305,4,02/11/2015,D,1.262667601,1,010000001181914711F,S,2,31/12/2009,20092,2009,1,8,1,0,1,1,0
203689,18/01/2010,1402,24,04/01/2016,C,1.195866879,1,010000001182471211F,C,NULL,16/01/2010,20102,2010,1,2,0,0,1,1,0
203745,26/02/2010,431,6,05/11/2015,H,0.953721951,1,010000001184168711F,C,2,21/02/2010,20102,2010,1,5,1,0,1,1,0
203759,15/03/2010,675,10,14/12/2015,E,1.210823003,1,010000001185731411F,S,2,11/03/2010,20102,2010,1,4,1,0,1,1,0
203801,08/04/2010,195,24,04/01/2016,D,0.926345015,1,010000001186192611F,S,1,05/04/2010,20101,2010,1,3,0,0,1,1,0
203864,28/06/2010,120,1,22/10/2015,F,1.065336458,1,010000001190950411F,S,2,22/06/2010,20101,2010,1,6,1,0,1,1,0
203892,02/08/2010,929,15,14/12/2015,G,0.989939175,1,010000001191543611F,S,2,27/07/2010,20101,2010,1,6,1,0,1,1,0
203899,05/08/2010,983,16,15/12/2015,E,0.800210358,1,010000001191803811F,C,1,31/07/2010,20101,2010,1,5,1,0,1,1,0
203969,17/08/2010,1148,19,16/12/2015,F,1.142658971,1,010000001192498111F,C,NULL,15/08/2010,20101,2010,1,2,0,0,1,1,0
203990,21/09/2010,549,8,06/11/2015,A,1.172233363,1,010000001194928111F,S,1,17/09/2010,20101,2010,1,4,1,0,1,1,0
204032,15/10/2010,1104,18,16/12/2015,C,1.239390357,1,010000001196009411F,C,2,12/10/2010,20102,2010,1,3,0,0,1,1,0
204039,29/10/2010,1021,16,15/12/2015,D,1.331202099,1,010000001196838011F,S,2,24/10/2010,20102,2010,1,5,1,0,1,1,0
204046,05/11/2010,264,3,02/11/2015,C,1.215535595,1,010000001197086311F,C,2,29/10/2010,20102,2010,1,7,1,0,1,1,0
204074,10/12/2010,1194,24,04/01/2016,A,1.024741157,1,010000001199548511F,C,1,07/12/2010,20102,2010,1,3,0,0,1,1,0
204193,22/02/2011,891,14,11/12/2015,E,1.213365753,1,010000001203315811F,S,2,17/02/2011,20112,2011,1,5,1,0,1,1,0
204207,22/03/2011,309,4,02/11/2015,H,1.285254885,1,010000001204499311F,C,1,15/03/2011,20112,2011,1,7,1,0,1,1,0
204221,05/04/2011,970,15,14/12/2015,A,1.022652547,1,010000001205415811F,S,NULL,31/03/2011,20112,2011,1,5,1,0,1,1,0
204263,20/04/2011,402,6,05/11/2015,B,1.007386956,1,010000001206184111F,S,1,16/04/2011,20111,2011,1,4,1,0,1,1,0
204333,13/06/2011,975,16,15/12/2015,E,0.934248916,1,010000001208230211F,C,1,02/06/2011,20111,2011,1,11,2,0,1,1,0
204347,27/06/2011,396,6,05/11/2015,D,1.023888853,1,010000001209212011F,S,2,24/06/2011,20111,2011,1,3,0,0,1,1,0
204354,08/07/2011,1061,17,15/12/2015,B,1.321960298,1,010000001209437511F,C,1,03/07/2011,20111,2011,1,5,1,0,1,1,0
204578,06/12/2011,93,1,22/10/2015,D,0.827725116,1,DUMMYHUK3736F,C,NULL,01/12/2011,20112,2011,1,5,1,0,1,1,0
204676,12/03/2012,398,6,05/11/2015,F,1.209502563,1,DUMMYHUK3795F,S,NULL,03/03/2012,20122,2012,1,9,1,0,1,1,0
204683,16/03/2012,730,11,12/12/2015,H,0.944725647,1,010000001223694411F,S,NULL,13/03/2012,20122,2012,1,3,0,0,1,1,0
204697,13/04/2012,501,23,18/12/2015,C,1.264390932,1,010000001224987911F,S,2,12/04/2012,20121,2012,1,1,0,0,1,1,0
204830,27/06/2012,533,8,06/11/2015,C,1.148149658,1,010000001228448311F,S,2,23/06/2012,20121,2012,1,4,1,0,1,1,0
204858,06/08/2012,1390,23,18/12/2015,H,0.948326917,1,DUMMYHUK3874F,S,NULL,26/07/2012,20121,2012,1,11,2,0,1,1,0
303060,15/09/2008,1051,17,15/12/2015,G,1.369805198,2,010000001155984411F,C,NULL,11/09/2008,20081,2008,1,4,1,0,1,1,0
303095,26/11/2008,330,5,05/11/2015,B,1.223013537,1,010000001159823811F,S,1,12/11/2008,20082,2008,1,14,2,0,1,1,0
303151,28/11/2008,287,4,02/11/2015,A,1.157993931,1,010000001160547911F,S,1,22/11/2008,20082,2008,1,6,1,0,1,1,0
303221,23/01/2009,435,6,05/11/2015,D,1.248754115,1,010000001164012311F,C,1,21/01/2009,20092,2009,1,2,0,0,1,1,0
303235,09/02/2009,993,16,15/12/2015,G,1.013221,1,010000001164773911F,C,2,08/02/2009,20092,2009,1,1,0,0,1,1,0
303249,22/02/2009,962,15,14/12/2015,A,1.236270903,1,010000001165096011F,C,2,17/02/2009,20092,2009,1,5,1,0,1,1,0
303256,22/02/2009,1387,23,18/12/2015,E,0.895299817,1,010000001165231511F,C,NULL,20/02/2009,20092,2009,1,2,0,0,1,1,0
303263,03/03/2009,374,5,05/11/2015,G,1.009208654,1,010000001165560911F,C,1,26/02/2009,20092,2009,1,5,1,0,1,1,0
303277,02/04/2009,162,2,02/11/2015,H,0.953286677,1,DUMMYHUK3215F,C,NULL,26/03/2009,20092,2009,1,7,1,0,1,1,0
303291,21/04/2009,747,12,12/12/2015,H,1.384044907,1,010000001167884011F,C,1,14/04/2009,20091,2009,1,7,1,0,1,1,0
303417,17/06/2009,401,6,05/11/2015,A,1.056342848,1,010000001170391011F,C,1,15/06/2009,20091,2009,1,2,0,0,1,1,0
303424,29/06/2009,127,1,22/10/2015,E,1.31329169,1,010000001170968211F,C,2,24/06/2009,20091,2009,1,5,1,0,1,1,0
303508,19/08/2009,242,3,02/11/2015,D,1.160745949,1,010000001173590011F,S,2,14/08/2009,20091,2009,1,5,1,0,1,1,0
303508,19/08/2009,434,6,05/11/2015,C,1.470784061,1,010000001173590011F,S,2,14/08/2009,20091,2009,1,5,1,0,1,1,0
303522,10/09/2009,452,7,05/11/2015,D,1.058765875,1,010000001174450311F,S,2,02/09/2009,20091,2009,1,8,1,0,1,1,0
303543,18/10/2009,448,7,05/11/2015,H,1.313270657,1,010000001177101311F,C,1,12/10/2009,20092,2009,1,6,1,0,1,1,0
303662,23/12/2009,1069,17,15/12/2015,B,1.618960424,1,010000001181908711F,C,1,19/12/2009,20092,2009,1,4,1,0,1,1,0
303669,08/01/2010,1122,18,16/12/2015,F,1.531529306,1,010000001181914811F,S,1,03/01/2010,20102,2010,1,5,1,0,1,1,0
303683,18/01/2010,1154,19,16/12/2015,D,1.079627146,1,010000001182393411F,S,NULL,12/01/2010,20102,2010,1,6,1,0,1,1,0
303732,10/02/2010,586,25,17/02/2016,D,1.032470293,1,010000001183604811F,C,NULL,06/02/2010,20102,2010,1,4,1,0,1,1,0
303746,26/02/2010,1326,22,17/12/2015,B,1.222456885,2,010000001184168911F,S,1,22/02/2010,20102,2010,1,4,1,0,1,1,0
303753,08/03/2010,208,24,04/01/2016,H,0.964747484,1,010000001184721411F,C,NULL,03/03/2010,20102,2010,1,5,1,0,1,1,0
303767,02/04/2010,581,9,06/11/2015,F,0.944815532,1,010000001185996511F,S,2,29/03/2010,20102,2010,1,4,1,0,1,1,0
303816,06/05/2010,348,5,05/11/2015,D,0.946396903,1,010000001187447311F,C,1,29/04/2010,20101,2010,1,7,1,0,1,1,0
303837,24/05/2010,800,13,14/12/2015,D,1.2170333,1,010000001188351111F,S,2,20/05/2010,20101,2010,1,4,1,0,1,1,0
303844,01/06/2010,1056,17,15/12/2015,D,0.944382992,1,010000001188585311F,C,1,25/05/2010,20101,2010,1,7,1,0,1,1,0
303851,04/06/2010,441,7,05/11/2015,A,1.326467989,1,010000001188713111F,C,NULL,28/05/2010,20101,2010,1,7,1,0,1,1,0
303872,09/07/2010,1404,23,18/12/2015,F,0.929129122,1,010000001191332111F,S,1,06/07/2010,20101,2010,1,3,0,0,1,1,0
303893,02/08/2010,1340,24,04/01/2016,B,1.091437895,1,010000001191543711F,C,2,27/07/2010,20101,2010,1,6,1,0,1,1,0
303928,17/08/2010,551,24,04/01/2016,H,0.792008333,2,010000001192498311F,S,1,16/08/2010,20101,2010,1,1,0,0,1,1,0
303928,25/08/2010,218,3,02/11/2015,E,0.882402527,1,010000001192498311F,S,1,16/08/2010,20101,2010,2,9,1,0,1,1,0
303991,21/09/2010,613,9,06/11/2015,G,0.853709134,1,010000001194928211F,C,1,19/09/2010,20101,2010,1,2,0,0,1,1,0
304040,29/10/2010,1055,17,15/12/2015,C,1.132054774,2,010000001196838111F,S,2,24/10/2010,20102,2010,1,5,1,0,1,1,0
304054,12/11/2010,645,10,14/12/2015,F,1.225508123,1,010000001198999811F,S,1,04/11/2010,20102,2010,1,8,1,0,1,1,0
304208,22/03/2011,467,7,05/11/2015,C,1.033782237,1,010000001204499411F,S,2,15/03/2011,20112,2011,1,7,1,0,1,1,0
304257,20/04/2011,650,10,14/12/2015,C,0.978194415,1,010000001206182011F,S,1,12/04/2011,20111,2011,1,8,1,0,1,1,0
304264,20/04/2011,315,4,02/11/2015,E,1.236645234,1,010000001206184411F,S,2,16/04/2011,20111,2011,1,4,1,0,1,1,0
304271,27/04/2011,457,7,05/11/2015,A,1.014141568,1,010000001206263011F,S,1,20/04/2011,20111,2011,1,7,1,0,1,1,0
304278,05/05/2011,834,13,14/12/2015,F,1.136798675,1,010000001206937711F,C,2,30/04/2011,20111,2011,1,5,1,0,1,1,0
304285,17/05/2011,884,14,11/12/2015,F,1.28246446,1,010000001207219811F,S,2,11/05/2011,20111,2011,1,6,1,0,1,1,0
304348,08/07/2011,523,8,06/11/2015,B,1.25504189,1,010000001209212311F,S,1,27/06/2011,20111,2011,1,11,2,0,1,1,0
304355,15/07/2011,465,7,05/11/2015,A,1.025149133,1,010000001209880411F,S,1,08/07/2011,20111,2011,1,7,1,0,1,1,0
304404,16/08/2011,345,5,05/11/2015,A,1.169473143,1,010000001211416511F,S,2,09/08/2011,20111,2011,1,7,1,0,1,1,0
304418,29/08/2011,1282,21,17/12/2015,G,1.273126801,2,010000001212781311F,S,2,27/08/2011,20111,2011,1,2,0,0,1,1,0
304544,29/11/2011,864,14,11/12/2015,A,1.028322388,1,DUMMYHUK3729F,C,NULL,25/11/2011,20112,2011,1,4,1,0,1,1,0
304593,05/01/2012,381,5,05/11/2015,F,1.147419537,1,010000001220040811F,C,2,25/12/2011,20112,2011,1,11,2,0,1,1,0
304614,16/01/2012,621,9,06/11/2015,G,1.152667533,1,DUMMYHUK3762F,C,NULL,13/01/2012,20122,2012,1,3,0,0,1,1,0
304712,07/05/2012,90,1,22/10/2015,A,1.198036958,1,DUMMYHUK3820F,C,NULL,30/04/2012,20121,2012,1,7,1,0,1,1,0
304838,05/07/2012,143,2,02/11/2015,D,1.07938761,1,DUMMYHUK3857F,C,NULL,02/07/2012,20121,2012,1,3,0,0,1,1,0
304901,21/08/2012,145,2,02/11/2015,F,0.903226699,1,DUMMYHUK3890F,C,NULL,13/08/2012,20121,2012,1,8,1,0,1,1,0
304950,21/01/2013,1392,23,18/12/2015,B,1.241037025,1,DUMMYHUK3996F,S,NULL,11/01/2013,20132,2013,1,10,1,0,1,1,0
304992,05/10/2012,1095,24,04/01/2016,D,0.979070479,2,DUMMYHUK3943F,C,NULL,03/10/2012,20122,2012,1,2,0,0,1,1,0
305643,07/04/2014,824,13,14/12/2015,C,1.227622339,1,DUMMYHUK4276F,S,NULL,29/03/2014,20142,2014,1,9,1,0,1,1,0
403061,15/09/2008,288,4,02/11/2015,B,1.102106665,1,010000001155984711F,S,1,12/09/2008,20081,2008,1,3,0,0,1,1,0
403173,12/01/2009,499,7,05/11/2015,H,1.110497921,1,010000001162681911F,S,1,31/12/2008,20082,2008,1,12,2,0,1,1,0
403215,23/01/2009,1091,18,16/12/2015,G,1.411677356,1,010000001164006711F,C,2,14/01/2009,20092,2009,1,9,1,0,1,1,0
403264,10/03/2009,1372,22,17/12/2015,G,1.152205387,1,010000001166025511F,C,NULL,03/03/2009,20092,2009,1,7,1,0,1,1,0
403376,04/05/2009,166,23,18/12/2015,C,1.087288455,1,010000001169330111F,C,2,01/05/2009,20091,2009,1,3,0,0,1,1,0
403383,19/05/2009,422,6,05/11/2015,G,1.185931564,1,DUMMYHUK3237F,S,NULL,10/05/2009,20091,2009,1,9,1,0,1,1,0
403425,29/06/2009,879,14,11/12/2015,H,1.09493634,1,010000001170968511F,C,NULL,27/06/2009,20091,2009,1,2,0,0,1,1,0
403432,16/07/2009,1117,18,16/12/2015,A,1.082814048,1,010000001171653711F,C,2,08/07/2009,20091,2009,1,8,1,0,1,1,0
403516,31/08/2009,1100,18,16/12/2015,G,1.441392266,1,010000001174019511F,S,2,25/08/2009,20091,2009,1,6,1,0,1,1,0
403523,10/09/2009,1399,23,18/12/2015,A,0.990310312,1,010000001174867711F,C,1,04/09/2009,20091,2009,1,6,1,0,1,1,0
403537,14/10/2009,626,10,14/12/2015,C,1.392431311,1,010000001177100911F,S,2,05/10/2009,20092,2009,1,9,1,0,1,1,0
403593,03/12/2009,812,13,14/12/2015,G,1.221217462,1,010000001180097011F,C,1,29/11/2009,20092,2009,1,4,1,0,1,1,0
403656,14/12/2009,1311,21,17/12/2015,D,1.201862149,1,010000001180508011F,S,1,09/12/2009,20092,2009,1,5,1,0,1,1,0
403677,13/01/2010,1132,18,16/12/2015,H,1.035052859,1,010000001182086911F,C,NULL,09/01/2010,20102,2010,1,4,1,0,1,1,0
403733,10/02/2010,1406,25,17/02/2016,C,1.30541604,1,010000001183604911F,C,NULL,07/02/2010,20102,2010,1,3,0,0,1,1,0
403740,16/02/2010,543,8,06/11/2015,D,0.978758123,2,010000001183824311F,C,2,13/02/2010,20102,2010,1,3,0,0,1,1,0
403803,13/04/2010,248,3,02/11/2015,C,1.229112281,1,010000001186481111F,S,1,07/04/2010,20101,2010,1,6,1,0,1,1,0
403831,19/05/2010,382,5,05/11/2015,G,1.170811094,1,010000001188110511F,S,1,12/05/2010,20101,2010,1,7,1,0,1,1,0
403866,02/07/2010,917,15,14/12/2015,D,1.056217922,1,010000001190950511F,S,1,27/06/2010,20101,2010,1,5,1,0,1,1,0
403887,28/07/2010,259,3,02/11/2015,F,1.070926249,1,010000001191397511F,S,2,22/07/2010,20101,2010,1,6,1,0,1,1,0
403894,02/08/2010,711,24,04/01/2016,C,0.926899342,1,010000001191543911F,C,NULL,27/07/2010,20101,2010,1,6,1,0,1,1,0
403929,25/08/2010,215,24,04/01/2016,F,1.173360518,1,010000001193023711F,S,1,19/08/2010,20101,2010,1,6,1,0,1,1,0
403936,07/09/2010,615,9,06/11/2015,A,1.239933172,1,010000001193755411F,C,2,31/08/2010,20101,2010,1,7,1,0,1,1,0
403943,07/09/2010,373,5,05/11/2015,F,1.210204947,2,010000001193755811F,C,1,03/09/2010,20101,2010,1,4,1,0,1,1,0
403978,17/09/2010,176,2,02/11/2015,E,1.001171358,1,010000001194067111F,S,2,09/09/2010,20101,2010,1,8,1,0,1,1,0
404055,12/11/2010,585,9,06/11/2015,B,1.288284377,1,010000001199000311F,C,NULL,05/11/2010,20102,2010,1,7,1,0,1,1,0
404069,02/12/2010,490,7,05/11/2015,B,1.437753655,1,010000001199001811F,S,1,25/11/2010,20102,2010,1,7,1,0,1,1,0
404111,17/12/2010,1060,17,15/12/2015,A,1.337913613,1,010000001200047211F,S,1,13/12/2010,20102,2010,1,4,1,0,1,1,0
404125,06/01/2011,450,7,05/11/2015,B,1.105599727,1,DUMMYHUK3553F,C,NULL,03/01/2011,20112,2011,1,3,0,0,1,1,0
404132,21/01/2011,826,13,14/12/2015,F,1.119655953,1,010000001201349211F,S,1,07/01/2011,20112,2011,1,14,2,0,1,1,0
404188,22/02/2011,799,13,14/12/2015,C,1.141678924,1,010000001203110411F,C,1,14/02/2011,20112,2011,1,8,1,0,1,1,0
404216,05/04/2011,462,7,05/11/2015,F,1.195971096,1,010000001205004011F,S,2,24/03/2011,20112,2011,1,12,2,0,1,1,0
404251,12/04/2011,972,16,15/12/2015,B,1.402469836,1,DUMMYHUK3605F,C,NULL,07/04/2011,20111,2011,1,5,1,0,1,1,0
404265,20/04/2011,1255,20,17/12/2015,F,0.948316216,1,DUMMYHUK3613F,C,NULL,17/04/2011,20111,2011,1,3,0,0,1,1,0
404356,15/07/2011,830,13,14/12/2015,B,1.363653156,1,010000001209880511F,S,1,09/07/2011,20111,2011,1,6,1,0,1,1,0
404370,01/08/2011,610,9,06/11/2015,D,1.022213296,1,010000001210776411F,S,1,20/07/2011,20111,2011,1,12,2,0,1,1,0
404405,16/08/2011,696,11,12/12/2015,H,1.21184592,1,010000001211416611F,C,1,10/08/2011,20111,2011,1,6,1,0,1,1,0
404461,16/09/2011,968,15,14/12/2015,G,1.101262076,1,010000001213382411F,C,1,10/09/2011,20111,2011,1,6,1,0,1,1,0
404587,20/12/2011,389,6,05/11/2015,E,0.860032874,1,010000001219365911F,C,NULL,16/12/2011,20112,2011,1,4,1,0,1,1,0
404811,07/06/2012,525,8,06/11/2015,D,0.920744233,1,DUMMYHUK3837F,C,NULL,04/06/2012,20121,2012,1,3,0,0,1,1,0
404860,03/08/2012,355,5,05/11/2015,C,0.968843191,1,010000001230180311F,S,2,27/07/2012,20121,2012,1,7,1,0,1,1,0
404909,21/08/2012,738,11,12/12/2015,H,1.335010219,1,DUMMYHUK3898F,S,NULL,20/08/2012,20121,2012,1,1,0,0,1,1,0
503062,18/09/2008,557,8,06/11/2015,H,0.963757869,1,010000001155984911F,S,2,14/09/2008,20081,2008,1,4,1,0,1,1,0
